Filename,Bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
e0a10d6ea3f6debeb7882586b7b8452c1cf01d922bbf62fba57d3317e000bb04.elf,79678,6.274614,775624.779287,93.549524,3.514722,0.275198
e54ad8dadb4dadcdf6c0e3a13a077192,91488,6.341471,865462.570129,98.161726,3.380902,0.286864
e840315f365377541d062a6c0e353bc6f6c3e7c32c53cc4b325127fb8680de9c.elf,72734,6.281534,708942.004730,93.424671,3.494803,0.268218
e8adcbe01f9303f82ec813bcb934f85f47d45c98ad1f8fa154ef3f7f705b4cb1.elf,95760,6.378116,777393.956892,104.782769,3.236090,0.358003
ecad7f662eef8b387ca73d3134c160dcaf1babce36f3abeca0a45307a32007ad.elf,28190,5.921542,387875.384888,89.533239,3.533418,0.285584
f0fd6a084c2403c343ecb5e8a0fba089a0edd895e214d56cd29e7061d3644230.elf,60678,6.231884,596951.151126,97.329296,3.401562,0.269637
f5968ced46e935dbe5f5e82dc635dc85090b3edf17e399edd40474a69ce5be8e.elf,158822,5.316894,4800055.324703,75.997960,3.568266,0.427266
f97396cb3dc5e9d24f1e85fd35bc4035d7a54057c0219121786f5428770a29ce.elf,37372,7.959288,3245.703093,123.650541,3.177264,0.038790
f9f969a431b4334e480cc7659c865418df5220bd694dc0617e1af65678bd7834.elf,128414,6.327615,1252860.767424,93.096687,3.535371,0.257361
fc971b9bf221082057f917bd4afd425097ce7ce0258c97e9ceb4892858eb0af1.elf,95952,6.380750,779848.550942,104.721882,3.239620,0.359641
ff13b9d3942b0f176613a288a016be0b09c531e60fee992efb24e95aa613c0d7.elf,94488,6.241344,971213.616459,104.185833,3.208534,0.373653
FUS4,162808,5.451070,4816090.909734,76.242181,3.541977,0.455108
fyfa3,85056,6.403649,727677.983446,98.383312,3.397009,0.259749
HIH4,162840,5.451053,4822613.964923,76.174865,3.538836,0.452051
hohox86,16712,5.256371,511904.716132,86.649713,3.230162,0.494401
IOK4,166552,5.466835,4894943.672222,76.261696,3.546797,0.452820
k5l,104384,6.125045,1263725.341508,100.616790,3.212048,0.379676
k5l.1,104512,6.122365,1265251.252909,100.505951,3.216672,0.379298
k64,109520,6.148240,1309183.244996,96.222224,3.338191,0.368337
k64.1,109008,6.143338,1307242.340232,96.355121,3.312638,0.370136
k64.2,39208,5.629083,729700.562334,103.180779,3.073768,0.499967
ohx64,119984,6.285445,1319583.127350,93.425415,3.421113,0.381159
SSS4,162648,5.450989,4817459.546505,76.195397,3.541685,0.453769
